Vessel Code,Vessel Name,Speed,LSFO MT/D,HSFO MT/D,MGO MT/D,Port Stay LSFO,PS MGO,,,,,,,,,,,,,,,,,,
H811,HUA DONG 811,9.5,13.3,,,0.8,0.6,,,,,,,,,,,,,,,,,,
,,10,13.5,,,0.8,0.6,,,,,,,,,,,,,,,,,,
,,11,14,,,0.8,0.6,,,,,,,,,,,,,,,,,,
MMRN,M. MARINER,12,11.35,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,13,12.85,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,14,14.85,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,15,17.8,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,16,21.5,,2.85,,1.45,,,,,,,,,,,,,,,,,,
X106,XIN MING ZHOU 106,12.88,13.2,,,1.45,,,,,,,,,,,,,,,,,,,
,,14.48,17.6,,,1.45,,,,,,,,,,,,,,,,,,,
,,15.7,21.8,,,1.45,,,,,,,,,,,,,,,,,,,
,,16.56,25.8,,,1.45,,,,,,,,,,,,,,,,,,,
,,17.36,30.5,,,1.45,,,,,,,,,,,,,,,,,,,
,,18.11,37.7,,,1.45,,,,,,,,,,,,,,,,,,,
,,18.51,40.4,,,1.45,,,,,,,,,,,,,,,,,,,
,,18.79,43.3,,,1.45,,,,,,,,,,,,,,,,,,,
,,18.99,45.4,,,1.45,,,,,,,,,,,,,,,,,,,
,,19.42,52,,,1.45,,,,,,,,,,,,,,,,,,,
CUHP,CUL HAIPHONG,11,12,,1.1,,1.1,,,,,,,,,,,,,,,,,,
,,12,12.6,,1.1,,1.1,,,,,,,,,,,,,,,,,,
,,13,13.5,,1.1,,1.1,,,,,,,,,,,,,,,,,,
,,14,14.6,,1.1,,1.1,,,,,,,,,,,,,,,,,,
,,15,16,,1.1,,1.1,,,,,,,,,,,,,,,,,,
,,16,17.5,,1.1,,1.1,,,,,,,,,,,,,,,,,,
MKDN,MEDKON DON,11,18.5,,1,,1,,,,,,,,,,,,,,,,,,
,,12,20,,1,,1,,,,,,,,,,,,,,,,,,
,,13,22,,1,,1,,,,,,,,,,,,,,,,,,
,,14,24,,1,,1,,,,,,,,,,,,,,,,,,
KRCB,KR CELEBES,9.8,6.6,,1,,1,,,,,,,,,,,,,,,,,,
,,12.3,12.3,,1,,1,,,,,,,,,,,,,,,,,,
,,13.4,15.7,,1,,1,,,,,,,,,,,,,,,,,,
,,14.1,18.1,,1,,1,,,,,,,,,,,,,,,,,,
ASRR,ASR,10,10,,1.2,,1.2,,,,,,,,,,,,,,,,,,
,,11,11,,1.2,,1.2,,,,,,,,,,,,,,,,,,
,,12,13.1,,1.2,,1.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
